issue_number,comment_count,has_solution_comment,all_comments_text,solution_comments,unique_commenters
100522,1,1,"fixes all the findings except the other funcs related to the name of [inline code] . pr opened here: [url] if any change in this pr is not right, please tell me and then i'll remove it. thanks!","fixes all the findings except the other funcs related to the name of [inline code] . pr opened here: [url] if any change in this pr is not right, please tell me and then i'll remove it. thanks!",1
100533,1,0,will a newer version of the tensorflow library be published that contains support 16kb page alignment in android?,,1
100590,1,1,"hi , sorry for the delay, and thanks for your patience. this turned out to be a windows-specific macro conflict affecting [inline code] , tf.minimum, and [inline code] when using int64. the issue was caused by min/max macro interference, and the fix ensures [inline code] and [inline code] are resolved correctly in the c++ code. the fix is available in recent builds. could you check whether this is resolved with: the latest [inline code] , or [inline code] let us know if the behavior looks correct on your windows setup. thanks.","hi , sorry for the delay, and thanks for your patience. this turned out to be a windows-specific macro conflict affecting [inline code] , tf.minimum, and [inline code] when using int64. the issue was caused by min/max macro interference, and the fix ensures [inline code] and [inline code] are resolved correctly in the c++ code. the fix is available in recent builds. could you check whether this is resolved with: the latest [inline code] , or [inline code] let us know if the behavior looks correct on your windows setup. thanks.",1
100689,2,1,"gpu support is only available on linux. for windows, you could try using wsl. |SEP| i think this wasn't the case for the previous version of tensorflow and python 3.12. what changed? i used to run tensorflow gpu on both as far i remember. ah now i checked the documentation [url] caution: tensorflow 2.10 was the last tensorflow release that supported gpu on native-windows. starting with tensorflow 2.11, you will need to install [tensorflow in wsl2]( [url] or install tensorflow or tensorflow-cpu and, optionally, try the [tensorflow-directml-plugin]( [url] that's strange! ok will close the ticket, but that's a very strange decision","i think this wasn't the case for the previous version of tensorflow and python 3.12. what changed? i used to run tensorflow gpu on both as far i remember. ah now i checked the documentation [url] caution: tensorflow 2.10 was the last tensorflow release that supported gpu on native-windows. starting with tensorflow 2.11, you will need to install [tensorflow in wsl2]( [url] or install tensorflow or tensorflow-cpu and, optionally, try the [tensorflow-directml-plugin]( [url] that's strange! ok will close the ticket, but that's a very strange decision",2
100872,2,1,"hi, this issue occurs because keras.layers.lstm with default parameters uses the cudnn fast path, which is not supported by xla gpu jit. a simple workaround is to disable the cudnn path by setting recurrent dropout 0. for example: layers.lstm(32, recurrent dropout=0.1, return sequences=false) this allows the lstm to compile and run under xla on gpu while still functioning correctly. this works in my ubuntu 24.04 [issue 100872.py]( [url] |SEP| hi -jain7, thanks for your pointers and quick response. hi , apologies for the delay, and thanks for raising this issue. i was able to reproduce the same behavior with tensorflow 2.19.0 and 2.20.0. as -jain7 mentioned, setting recurrent dropout 0 disables the cudnn fast path and allows the lstm to compile under xla gpu jit. i tried this workaround and it works fine for me as well. here is a minimal [gist]( [url] with the workaround for reference. thank you!","hi, this issue occurs because keras.layers.lstm with default parameters uses the cudnn fast path, which is not supported by xla gpu jit. a simple workaround is to disable the cudnn path by setting recurrent dropout 0. for example: layers.lstm(32, recurrent dropout=0.1, return sequences=false) this allows the lstm to compile and run under xla on gpu while still functioning correctly. this works in my ubuntu 24.04 [issue 100872.py]( [url] |SEP| hi -jain7, thanks for your pointers and quick response. hi , apologies for the delay, and thanks for raising this issue. i was able to reproduce the same behavior with tensorflow 2.19.0 and 2.20.0. as -jain7 mentioned, setting recurrent dropout 0 disables the cudnn fast path and allows the lstm to compile under xla gpu jit. i tried this workaround and it works fine for me as well. here is a minimal [gist]( [url] with the workaround for reference. thank you!",2
101017,1,1,closing the issue got it resolved after removing xnnpack related code from interpreter wrapper.c. thanks,closing the issue got it resolved after removing xnnpack related code from interpreter wrapper.c. thanks,1
101115,2,1,i've fixed it with this pr - [url] |SEP| not a tf issue,i've fixed it with this pr - [url],2
101142,12,1," |SEP| hi , apologies for the delay, thanks for the raising your issue here. apologies for the delay, and thank you for raising your concern. it seems you have installed incompatible versions. could you please update them as per the official documentation and let us know if the issue still persists? here is the [documentation]( [url] for your reference. thank you! |SEP| hi []( [url] , apologies for the delay, thanks for the raising your issue here. apologies for the delay, and thank you for raising your concern. it seems you have installed incompatible versions. could you please update them as per the official documentation and let us know if the issue still persists? here is the [documentation]( [url] for your reference. thank you! no, the problem has not disappeared |SEP| hi []( [url] , apologies for the delay, thanks for the raising your issue here. apologies for the delay, and thank you for raising your concern. it seems you have installed incompatible versions. could you please update them as per the official documentation and let us know if the issue still persists? here is the [documentation]( [url] for your reference. thank you! no, the problem has not disappeared rebuild using another version cuda (12.5.0) and cudnn (9.3.0) didn't help the same error |SEP|  |SEP| the same error in tensorflow 2.20.0 |SEP| the same error in tensorflow 2.21.0 |SEP| problem fixed! |SEP| problem fixed! could you share a solution? i'm facing the same issue. |SEP| problem fixed! could you share a solution? i'm facing the same issue. if you have an amd graphics card, then use fork from rocm [url] |SEP| problem fixed! could you share a solution? i'm facing the same issue. if you have an amd graphics card, then use fork from rocm [url] oh i see, thank you. i thought that maybe there is some magic trick to build a standard tf package. |SEP| problem fixed! could you share a solution? i'm facing the same issue. if you have an amd graphics card, then use fork from rocm [url] oh i see, thank you. i thought that maybe there is some magic trick to build a standard tf package. you're welcome!","problem fixed! |SEP| problem fixed! could you share a solution? i'm facing the same issue. |SEP| problem fixed! could you share a solution? i'm facing the same issue. if you have an amd graphics card, then use fork from rocm [url] |SEP| problem fixed! could you share a solution? i'm facing the same issue. if you have an amd graphics card, then use fork from rocm [url] oh i see, thank you. i thought that maybe there is some magic trick to build a standard tf package. |SEP| problem fixed! could you share a solution? i'm facing the same issue. if you have an amd graphics card, then use fork from rocm [url] oh i see, thank you. i thought that maybe there is some magic trick to build a standard tf package. you're welcome!",3
101181,2,0,"i was able to reproduce the same issue using tensorflow versions 2.19.0 and 2.20.0. i am providing a [gist]( [url] here for your reference. thank you! |SEP| hi , thank you for the report, and apologies for the delay. this behavior is expected. xla supports numerical tensor types only, and [inline code] tensors are not supported. in this case, [inline code] lowers to the [inline code] operation, which does not support string dtypes under xla. when [inline code] is enabled, all operations within the function must be xla-compatible. using string tensors inside the compiled function will therefore result in a compilation failure. i have attached a minimal colab example [gist]( [url] for reference. thank you.",,1
101183,2,0,"i was able to reproduce the same issue using tensorflow versions 2.19.0 and 2.20.0. i am providing a [gist]( [url] here for your reference. thank you! |SEP| hi , thanks for your patience. this is expected. xla only supports numerical tensor types, so [inline code] tensors are not supported as inputs or return values when [inline code] is enabled. all operations inside a jit-compiled function must be xla-compatible, so returning a string tensor leads to a compilation error. i have attached a colab [gist]( [url] showing a minimal example. i hope this helps clarify the behavior. thank you!",,1
101188,3,0,"i was able to reproduce the same issue using tensorflow versions 2.19.0 and 2.20.0. i am providing a [gist]( [url] here for your reference. thank you! |SEP| hi , this is intended behavior for xla. the xla compiler is optimized for numerical computations (linear algebra) and does not natively support [inline code] types or operations like [inline code] that rely on hash tables and variable-length data. when you use [inline code] , you force the entire function context to run on the xla device. since the function input is a string tensor, xla attempts to create an entry point ( [inline code] ) for a string, which fails because xla kernels only support numerical types (floats, ints, bools). solution: you must separate the preprocessing (strings - ints) from the computation (ints - output). the preprocessing should run in standard tensorflow (cpu), and the resulting integers can then be passed to the jit-compiled function. here is the corrected architectural pattern: python import tensorflow as tf from tensorflow import keras from tensorflow.keras import layers class testmodel(keras.model): def init (self): super(). init () 1. preprocessing (cpu/standard runtime) self.number encoding = layers.stringlookup(vocabulary=[""1"", ""2"", ""3"", ""4"", ""5""]) 2. computation (xla compatible) self.embedding = layers.embedding(input dim=self.number encoding.vocabulary size(), output dim=64) def call(self, inputs): step a: convert strings to ints (not compiled) encoded = self.number encoding(inputs) step b: run math on xla (compiled) return self.compiled embedding(encoded) .function(jit compile=true) def compiled embedding(self, encoded inputs): this function only sees integers, so xla is good return self.embedding(encoded inputs) inputs = tf.constant([""3"", ""1"", ""4"", ""2"", ""5""]) model = testmodel() output = model(inputs) print(""success:"", output.shape) |SEP| hi , thanks for your patience. this is expected behavior. xla only supports numerical tensor types, so [inline code] inputs are not compatible when [inline code] is enabled. all inputs to a jit-compiled function need to be xla-supported types. the usual pattern is to keep preprocessing outside the jit-compiled function. after moving stringlookup out of the compiled function, the example runs correctly under xla. i have shared a minimal working [gist]( [url] for reference. -codes thanks for the helpful explanation.",,2
101201,4,1,"i reproduced this on macos / python 3.11 with tf 2.16.2 + tf hub 0.16.1. [inline code] raises: valueerror: only instances of keras.layer can be added to a sequential model. |SEP| created a pr for the fix - [url] |SEP| this should be in the hub repo, not here |SEP| any update?",created a pr for the fix - [url],3
101296,4,0,"putting the [inline code] activation in the [inline code] layer seems to work. why? |SEP| may i know what type of activation function is used at this [inline code] layer? what's the expected range of output values from that layer? this is what i get when i do [inline code] : [code block] are these values expected? this is what i get when i do [inline code] : [code block] how can there be negative probabilities? |SEP| same for [inline code] : [code block] the l2 norm from the [inline code] is not around 1: [code block] |SEP| i have found out my mistake. to use [inline code] with the loss function and use the [inline code] output, there is one extra step that i need to take, i.e., [inline code] .",,1
101307,5,0,"hi , could you please provide the tensorflow version and the compatible packages you are trying to install? there are at least a few possible causes for the issue you are facing: the msvc 2019 redistributable is not installed. your cpu does not support avx2 instructions. your cpu or python installation is 32-bit. a required library is missing or located in a different path and cannot be loaded. additionally, please share your environment details and the steps you followed to install tensorflow. also, it appears this issue might be a duplicate of [url] [url] thank you! |SEP| i have intel celeron n4120 processor with the memory 4gb ram and i am student to develop many project yesterday i create a project so i installed tensorflow using pip command : pip install opencv-python mediapipe numpy and pip install tensorflow==2.18.0 |SEP| i reinstalled tensorflow i sent photo![20250930 203917.jpg]( [url] |SEP| hi , based on the error and your system specs (intel celeron n4120 with 4gb ram), i can help identify the likely cause: root cause: the intel celeron n4120 processor does not support avx2 instructions, which tensorflow 2.18 requires. this is why you're getting the dll initialization error. solutions: 1. use tensorflow 2.10 or earlier (last version with avx-only support): [code block] 2. install msvc 2019 redistributable (if not already installed): - download from: [url] - this provides required dll dependencies 3. verify python is 64-bit : [code block] should output [inline code] . if it shows [inline code] , reinstall 64-bit python. 4. alternative: use tensorflow-cpu with conda (if other methods fail): [code block] for your gesture recognition project with limited resources, i'd recommend tensorflow 2.10.1 + optimizing your model for inference. let me know if you need help with model optimization! related issues: , |SEP| hi thank you for your comment. from your comment i used your steps from there is no version in 2.10 tensorflow and i installed redistribution from your link also i can't use conda can you please reply for install conda how to import into my code",,3
101361,2,1,"i found that there was a normal logic that caused high water mark to be 0 during debugging. at this time, the value of underlying buffer .getptr() was nullptr. so i speculated whether the null check was removed for this reason. is there a better adjustment plan here, or is it done for a specific purpose. |SEP| hi -cc, thank you for the detailed report. the tensorflow lite runtime has now transitioned to [litert]( [url] where all future development and bug fixes will occur. we strongly recommend migrating to litert to get the latest updates. could you please verify if this issue is present in the[ latest litert build]( [url] - if the issue is resolved, you can close this thread. - if it persists, let us know, and we will move this issue to the litert repository for a fix. going forward, please file all new bug reports in the [litert issue tracker](httpss://github.com/google-ai-edge/litert/issues/new). if you are blocked from migrating, please share your reasons, as this feedback is very helpful. for more information, please see our [announcement blog]( [url] and the [migration guide]( [url] thanks for your cooperation.","hi -cc, thank you for the detailed report. the tensorflow lite runtime has now transitioned to [litert]( [url] where all future development and bug fixes will occur. we strongly recommend migrating to litert to get the latest updates. could you please verify if this issue is present in the[ latest litert build]( [url] - if the issue is resolved, you can close this thread. - if it persists, let us know, and we will move this issue to the litert repository for a fix. going forward, please file all new bug reports in the [litert issue tracker](httpss://github.com/google-ai-edge/litert/issues/new). if you are blocked from migrating, please share your reasons, as this feedback is very helpful. for more information, please see our [announcement blog]( [url] and the [migration guide]( [url] thanks for your cooperation.",2
101391,2,0,"hi , this is a common issue when working with nightly builds, as they are temporary and older versions are regularly removed from pypi. the specific version [inline code] that your [inline code] package depends on has been deleted. you have two main options to solve this: 1. recommended: upgrade to the latest nightly versions the best practice is to upgrade both packages to the latest available nightly versions that are compatible with each other. this will resolve the dependency issue. try running: [code block] 2. find the old build in google cloud storage if you absolutely must use that specific old version, tensorflow archives its builds in a public google cloud storage bucket. you can often find the old wheel file there and install it directly via its url. the url would look something like this (you'd need to confirm the exact filename and python/platform tags): [inline code] you could then install it using: [code block] i'd strongly recommend trying option 1 first, as relying on specific, deleted nightly builds will likely cause more issues in the future. |SEP| don't pin on nightly, they should only be used for early detection of breaking changes. the nightly packages are best-effort. if you really need a specific nightly version, make a backup of it.",,2
101397,1,1,"hi -stoast , thanks for the filing this issue. we want to inform you that the core tensorflow lite project has formally transitioned and is now actively being developed as [litert]( [url] all future active development including bug fixes, performance improvements and feature enhancements for the runtime will occur exclusively within the new standalone litert repository. we strongly recommend migrating your current setup to litert to ensure you are utilizing the most up-to-date and supported version. regarding your current report, we request that you test the issue reproduction using the [latest litert build]( [url] if the problem is resolved, please feel free to close this github thread. if the issue persists, kindly notify us and we will proceed to migrate this discussion to the litert repository which is the official platform for future investigation and resolution. finally, please note that all new bug reports and feature requests must be created directly in the [litert repository]( [url] going forward. thanks for your cooperation and understanding.","hi -stoast , thanks for the filing this issue. we want to inform you that the core tensorflow lite project has formally transitioned and is now actively being developed as [litert]( [url] all future active development including bug fixes, performance improvements and feature enhancements for the runtime will occur exclusively within the new standalone litert repository. we strongly recommend migrating your current setup to litert to ensure you are utilizing the most up-to-date and supported version. regarding your current report, we request that you test the issue reproduction using the [latest litert build]( [url] if the problem is resolved, please feel free to close this github thread. if the issue persists, kindly notify us and we will proceed to migrate this discussion to the litert repository which is the official platform for future investigation and resolution. finally, please note that all new bug reports and feature requests must be created directly in the [litert repository]( [url] going forward. thanks for your cooperation and understanding.",1
101472,4,1,"assign me this issue |SEP| divided it into two section using thn use col-6 for each section for mobile view . using fix property fs-12,fs-xl-12, so the buttom section be same in large and small device |SEP| hi , apologies for the delay, and thank you for raising your concern here. the site is displaying its default mobile layout. to view the desktop version on your mobile device, please switch to desktop site mode in your browser settings. thank you! |SEP| not a tf issue","divided it into two section using thn use col-6 for each section for mobile view . using fix property fs-12,fs-xl-12, so the buttom section be same in large and small device",4
101499,4,1,"hi , this appears to be the expected behavior for the efficientnetv2 architecture. the layers named [inline code] , [inline code] , and [inline code] are the final layers of the feature extraction backbone, not part of the classification head. when you set [inline code] , it correctly removes the original [inline code] and [inline code] layers. the output of the base model is therefore the output of the [inline code] layer, which is the final feature map intended for transfer learning. this is a common point of confusion due to the layer naming convention, but the model is functioning correctly. |SEP| i am clear about this. the subject of my post is confusing. it's not about the top layer [inline code] but the [inline code] does not work at all. [url] |SEP| may i know what type of activation function is used at this [inline code] layer? what's the expected range of output values from that layer? this is what i get when i do [inline code] : [code block] are these values expected? this is what i get when i do [inline code] : [code block] how can there be negative probabilities? |SEP| close this and use [url] to track.",close this and use [url] to track.,2
101516,3,1,"pr opened here, thanks: [url] |SEP| hi , apologies for the delay, thanks for raising your issue here. i see you have already taken the initiative and submitted a [pull request]( [url] for this! that is awesome. once it is merged, the problem should be resolved. thanks again for both reporting the issue and contributing a fix to tensorflow! |SEP| that's alright! thanks for your noting again!","hi , apologies for the delay, thanks for raising your issue here. i see you have already taken the initiative and submitted a [pull request]( [url] for this! that is awesome. once it is merged, the problem should be resolved. thanks again for both reporting the issue and contributing a fix to tensorflow!",2
101521,3,1,"pr opened here, thanks a lot! [url] |SEP| hi , apologies for the delay, thanks for raising your issue here. i see you have already taken the initiative and submitted a [pull request]( [url] for this! that is awesome. once it is merged, the problem should be resolved. thanks again for both reporting the issue and contributing a fix to tensorflow! |SEP| that's alright! thanks for your noting again!","hi , apologies for the delay, thanks for raising your issue here. i see you have already taken the initiative and submitted a [pull request]( [url] for this! that is awesome. once it is merged, the problem should be resolved. thanks again for both reporting the issue and contributing a fix to tensorflow!",2
101578,1,0,"pr opened here, thanks! [url]",,1
101746,3,1,"hi , thank you for raising this issue. the root cause appears to be that the current tensorflow pip binaries do not include precompiled cuda kernels for the nvidia blackwell architecture (compute capability 12.0, used in the rtx 50 series). as a result, when tensorflow falls back to jit compilation from ptx, the generated ptx code is rejected by the cuda 13.x driver, leading to [inline code] and [inline code] errors. this is a known and ongoing issue. please refer to the following tracking [issue]( [url] for further updates and technical discussions. some of the comments there may also be helpful for your setup. thank you! |SEP| i can confirm encountering this exact issue on an nvidia geforce rtx 5080 gpu using tensorflow 2.16+. the issue seems indeed related to the lack of precompiled kernels for compute capability 12.0 (blackwell) and xla compilation failures with the new drivers. however, i managed to get a stable training loop and inference running by explicitly disabling xla devices and jit compilation. workaround that worked for me: 1. disable xla devices (must be done before importing tensorflow): [code block] 2. disable jit in keras models: when compiling your model, explicitly set [inline code] : [code block] with these settings, i am able to utilize the gpu for training without the [inline code] crash. |SEP| hi, i think that this could help: [url]","i can confirm encountering this exact issue on an nvidia geforce rtx 5080 gpu using tensorflow 2.16+. the issue seems indeed related to the lack of precompiled kernels for compute capability 12.0 (blackwell) and xla compilation failures with the new drivers. however, i managed to get a stable training loop and inference running by explicitly disabling xla devices and jit compilation. workaround that worked for me: 1. disable xla devices (must be done before importing tensorflow): [code block] 2. disable jit in keras models: when compiling your model, explicitly set [inline code] : [code block] with these settings, i am able to utilize the gpu for training without the [inline code] crash.",3
